Area,Item,Year,Export quantity,Export value,Import quantity,Import value,Import Price per Unit (USD/t),Export Price per Unit (USD/t)
Europe,Pesticides (total),1961,0.0,132477.0,0.0,54621.0,0.0,0.0
Europe,Pesticides (total),1962,0.0,147277.0,0.0,73168.0,0.0,0.0
Europe,Pesticides (total),1963,0.0,180799.0,0.0,103387.0,0.0,0.0
Europe,Pesticides (total),1964,0.0,205801.0,0.0,131797.0,0.0,0.0
Europe,Pesticides (total),1965,0.0,241668.0,0.0,132869.0,0.0,0.0
Europe,Pesticides (total),1966,0.0,294289.0,0.0,153521.0,0.0,0.0
Europe,Pesticides (total),1967,0.0,308898.0,0.0,178049.0,0.0,0.0
Europe,Pesticides (total),1968,0.0,328274.0,0.0,209791.0,0.0,0.0
Europe,Pesticides (total),1969,0.0,408370.0,0.0,262556.0,0.0,0.0
Europe,Pesticides (total),1970,0.0,451661.0,0.0,300500.0,0.0,0.0
Europe,Pesticides (total),1971,0.0,493187.0,0.0,320612.0,0.0,0.0
Europe,Pesticides (total),1972,0.0,588156.0,0.0,370405.0,0.0,0.0
Europe,Pesticides (total),1973,0.0,792052.0,0.0,561981.0,0.0,0.0
Europe,Pesticides (total),1974,0.0,1187201.0,0.0,792955.0,0.0,0.0
Europe,Pesticides (total),1975,0.0,1421145.0,0.0,981775.0,0.0,0.0
Europe,Pesticides (total),1976,0.0,1303657.0,0.0,966621.0,0.0,0.0
Europe,Pesticides (total),1977,0.0,1631189.0,0.0,1117580.0,0.0,0.0
Europe,Pesticides (total),1978,0.0,2150853.0,0.0,1531009.0,0.0,0.0
Europe,Pesticides (total),1979,0.0,2557012.0,0.0,1933646.0,0.0,0.0
Europe,Pesticides (total),1980,0.0,2994028.0,0.0,2263405.0,0.0,0.0
Europe,Pesticides (total),1981,0.0,2740676.0,0.0,2066291.0,0.0,0.0
Europe,Pesticides (total),1982,0.0,2661909.0,0.0,2089178.0,0.0,0.0
Europe,Pesticides (total),1983,0.0,2874349.0,0.0,2207256.0,0.0,0.0
Europe,Pesticides (total),1984,0.0,3121927.0,0.0,2453749.0,0.0,0.0
Europe,Pesticides (total),1985,0.0,3300606.0,0.0,2707824.0,0.0,0.0
Europe,Pesticides (total),1986,0.0,3795383.0,0.0,3286135.0,0.0,0.0
Europe,Pesticides (total),1987,0.0,4263946.0,0.0,3720263.0,0.0,0.0
Europe,Pesticides (total),1988,0.0,4477638.0,0.0,4067689.0,0.0,0.0
Europe,Pesticides (total),1989,0.0,4666578.0,0.0,4230438.0,0.0,0.0
Europe,Pesticides (total),1990,738624.525,5181819.588,621395.3938,4597801.676,7.399156353385895,7.0154989613972
Europe,Pesticides (total),1991,720625.043,5136468.164,619800.9831,4715233.292,7.607657006957724,7.127795812669253
Europe,Pesticides (total),1992,719020.0606,5132343.24,633358.4652,4788066.134,7.559804434741452,7.137969468775626
Europe,Pesticides (total),1993,735612.4877,4901438.184,620826.5139,4105530.216,6.613007215509002,6.663070931986301
Europe,Pesticides (total),1994,935344.5393,6266358.974,666281.2151,4587574.468,6.885342651167894,6.699519493308492
Europe,Pesticides (total),1995,963323.2462,7409033.553,751827.7451,5752955.237,7.651959208069402,7.691118824575501
Europe,Pesticides (total),1996,1023188.788,7822529.425,806200.714,6030882.385,7.4806214882612965,7.645245449073471
Europe,Pesticides (total),1997,990637.6022,6832276.509,890551.0617,5666080.771,6.3624434517924735,6.896847539228205
Europe,Pesticides (total),1998,1023136.401,7339095.911,900781.877,5940225.035,6.594521034086036,7.173135374547192
Europe,Pesticides (total),1999,1057023.371,7363286.995,942853.1746,6050774.386,6.417514994916368,6.966058837501333
Europe,Pesticides (total),2000,1036371.828,6506411.247,868403.2964,5234542.219,6.027777923805679,6.278066492367063
Europe,Pesticides (total),2001,1171822.944,6334219.544,971015.0719,5217248.889,5.372984457173595,5.405440793280798
Europe,Pesticides (total),2002,1149426.168,6586381.088,1017587.265,5902865.791,5.800844796342847,5.730147156350455
Europe,Pesticides (total),2003,1084094.385,7912526.89,1019033.394,6779446.812,6.652821047785997,7.298743540674274
Europe,Pesticides (total),2004,1180350.249,8820895.526,1089998.276,7956878.435,7.2999000183739735,7.473117012067492
Europe,Pesticides (total),2005,1349480.683,9702307.908,1156071.583,8425120.134,7.287714928635175,7.189660459926717
Europe,Pesticides (total),2006,1372272.389,9832393.561,1139782.258,8328217.616,7.306849670228856,7.1650451031555376
Europe,Pesticides (total),2007,1422792.626,11009832.32,1281517.898,10236058.56,7.987448771472406,7.738184833690585
Europe,Pesticides (total),2008,1614888.718,14666480.66,1443802.57,12956623.33,8.97395779673671,9.082037973591193
Europe,Pesticides (total),2009,1431121.144,12898211.72,1300840.992,11658774.13,8.9624898059793,9.012662396943805
Europe,Pesticides (total),2010,1389108.501,12312677.06,1280308.632,10758038.42,8.40269146916132,8.863725944471778
Europe,Pesticides (total),2011,1583692.598,15380603.97,1475332.618,13451316.64,9.117480679194202,9.711862004926793
Europe,Pesticides (total),2012,1706217.061,14771342.85,1555413.099,13437487.86,8.639176221827613,8.657364404352302
Europe,Pesticides (total),2013,1799380.35,16077987.3,1632841.129,14275993.98,8.74303918884199,8.935291140641832
Europe,Pesticides (total),2014,1849240.066,17100065.4,1656699.981,15302588.87,9.236789428079314,9.247077063925133
Europe,Pesticides (total),2015,1957311.955,15518898.0,1741304.733,13517424.26,7.7628137130894705,7.928678900855127
Europe,Pesticides (total),2016,1958501.592,14851996.48,1810521.999,13311741.63,7.352432965383703,7.583346646572448
Europe,Pesticides (total),2017,2113450.178,15756271.87,1918085.59,14135006.86,7.3693306146990025,7.4552369552001805
Europe,Pesticides (total),2018,2017807.753,16334906.2,1976712.312,14765311.79,7.469631114434016,8.09537289948157
Europe,Pesticides (total),2019,2180609.701,16365845.71,1862264.254,14195100.9,7.6224955021877365,7.505169633288723
Europe,Pesticides (total),2020,2452360.354,17544079.0,2180171.861,15586889.89,7.149385866695213,7.153956379772726
Europe,Pesticides (total),2021,2278038.572,18169264.25,2039847.788,15415721.06,7.557289887357027,7.9758369648887575
Europe,Pesticides (total),2022,2346635.459,18537316.4,2104905.944,16060530.73,7.630046737138199,7.899529655918321
